"Date","Period","Demand(MW)","TCL(MW)","USEP($/MWh)","EHEUR($/MWh)","LCP($/MWh)","Regulation($/MWh)","Primary($/MWh)","Secondary($/MWh)","Contingency($/MWh)","Last Updated"
"20 Aug 2020","12:00-12:30","6507.782","0.000","70.80","-0.34","0.00","8.65","0.06","-","8.06","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","12:30-13:00","6495.213","0.000","69.89","-0.33","0.00","7.66","0.06","-","7.16","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","13:00-13:30","6486.078","0.000","69.82","-0.33","0.00","6.16","0.02","-","5.54","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","13:30-14:00","6501.903","0.000","69.89","-0.33","0.00","6.31","0.02","-","5.60","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","14:00-14:30","6509.914","0.000","72.13","-0.35","0.00","8.25","0.03","-","4.61","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","14:30-15:00","6522.369","0.000","72.12","-0.34","0.00","8.00","0.06","-","1.20","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","15:00-15:30","6497.952","0.000","69.83","-0.33","0.00","1.99","0.20","-","1.20","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","15:30-16:00","6512.101","0.000","70.81","-0.34","0.00","1.99","0.20","-","1.20","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","16:00-16:30","6541.047","0.000","72.09","-0.34","0.00","2.23","0.20","-","1.20","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","16:30-17:00","6551.618","0.000","72.18","-0.35","0.00","2.33","0.20","-","1.20","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","17:00-17:30","6542.607","0.000","72.27","-0.34","0.00","2.45","0.20","-","1.20","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","17:30-18:00","6482.888","0.000","72.04","-0.34","0.00","2.49","0.33","-","0.99","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","18:00-18:30","6437.750","0.000","70.79","-0.32","0.00","4.26","0.33","-","1.20","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","18:30-19:00","6410.519","0.000","70.78","-0.32","0.00","3.72","0.06","-","0.99","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","19:00-19:30","6389.293","0.000","69.77","-0.31","0.00","3.87","0.16","-","0.99","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","19:30-20:00","6366.585","0.000","69.77","-0.31","0.00","3.18","0.06","-","0.49","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","20:00-20:30","6340.293","0.000","66.77","-0.30","0.00","2.79","0.06","-","0.10","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","20:30-21:00","6297.904","0.000","65.68","-0.29","0.00","1.54","0.16","-","0.49","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","21:00-21:30","6246.579","0.000","65.68","-0.30","0.00","1.20","0.06","-","0.02","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","21:30-22:00","6160.012","0.000","65.66","-0.30","0.00","1.20","0.19","-","0.01","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","22:00-22:30","6044.196","0.000","65.83","-0.32","0.00","1.20","0.06","-","0.11","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","22:30-23:00","5922.709","0.000","65.69","-0.32","0.00","1.28","0.06","-","0.01","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","23:00-23:30","5816.371","0.000","65.65","-0.30","0.00","1.20","0.06","-","0.01","21 Aug 2020 9:31:30 AM"
"20 Aug 2020","23:30-00:00","5678.095","0.000","60.31","-0.28","0.00","1.10","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","00:00-00:30","5493.052","0.000","67.62","-0.29","0.00","1.00","0.01","-","0.05","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","00:30-01:00","5376.014","0.000","62.49","-0.26","0.00","0.90","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","01:00-01:30","5342.307","0.000","62.48","-0.25","0.00","0.90","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","01:30-02:00","5272.603","0.000","59.24","-0.23","0.00","0.88","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","02:00-02:30","5206.383","0.000","58.67","-0.21","0.00","0.90","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","02:30-03:00","5165.226","0.000","58.37","-0.21","0.00","0.60","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","03:00-03:30","5128.379","0.000","58.84","-0.20","0.00","0.88","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","03:30-04:00","5106.342","0.000","58.65","-0.22","0.00","0.60","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","04:00-04:30","5093.062","0.000","58.65","-0.21","0.00","0.60","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","04:30-05:00","5134.671","0.000","59.23","-0.21","0.00","0.60","0.01","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","05:00-05:30","5194.097","0.000","58.69","-0.20","0.00","0.88","0.06","-","0.02","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","05:30-06:00","5327.542","0.000","59.24","-0.21","0.00","1.00","0.02","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","06:00-06:30","5478.177","0.000","59.65","-0.24","0.00","2.00","0.06","-","0.02","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","06:30-07:00","5642.958","0.000","65.27","-0.26","0.00","1.88","0.06","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","07:00-07:30","5849.133","0.000","62.58","-0.27","0.00","2.70","0.06","-","0.05","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","07:30-08:00","6080.869","0.000","67.64","-0.30","0.00","3.79","0.06","-","1.00","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","08:00-08:30","6262.756","0.000","63.60","-0.27","0.00","3.28","0.06","-","0.49","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","08:30-09:00","6389.591","0.000","67.78","-0.31","0.00","3.18","0.02","-","0.49","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","09:00-09:30","6484.339","0.000","71.90","-0.32","0.00","3.68","0.02","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","09:30-10:00","6588.868","0.000","95.42","-0.46","0.00","9.19","0.06","-","1.20","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","10:00-10:30","6629.056","0.000","95.63","-0.45","0.00","9.32","0.06","-","1.33","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","10:30-11:00","6623.936","0.000","140.10","-0.67","0.00","12.12","0.06","-","4.13","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","11:00-11:30","6598.033","0.000","135.94","-0.66","0.00","9.32","0.02","-","1.33","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","11:30-12:00","6534.243","0.000","91.37","-0.44","0.00","8.00","0.02","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","12:00-12:30","6476.993","0.000","70.74","-0.33","0.00","7.43","0.02","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","12:30-13:00","6483.146","0.000","70.84","-0.33","0.00","7.53","0.02","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","13:00-13:30","6507.415","0.000","71.34","-0.34","0.00","8.00","0.06","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","13:30-14:00","6526.584","0.000","71.82","-0.34","0.00","8.00","0.06","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","14:00-14:30","6543.974","0.000","73.71","-0.36","0.00","8.00","0.06","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","14:30-15:00","6546.479","0.000","73.71","-0.36","0.00","8.00","0.06","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","15:00-15:30","6544.943","0.000","73.70","-0.36","0.00","8.00","0.06","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","15:30-16:00","6542.747","0.000","73.70","-0.36","0.00","8.00","0.06","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","16:00-16:30","6536.047","0.000","73.29","-0.36","0.00","8.98","0.02","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","16:30-17:00","6513.682","0.000","71.91","-0.34","0.00","8.59","0.06","-","0.99","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","17:00-17:30","6461.000","0.000","70.89","-0.33","0.00","8.00","0.06","-","0.49","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","17:30-18:00","6378.001","0.000","67.78","-0.31","0.00","5.13","0.06","-","0.49","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","18:00-18:30","6324.325","0.000","66.27","-0.30","0.00","3.31","0.06","-","0.49","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","18:30-19:00","6316.373","0.000","67.68","-0.31","0.00","2.82","0.06","-","0.10","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","19:00-19:30","6290.529","0.000","67.68","-0.31","0.00","2.89","0.02","-","0.10","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","19:30-20:00","6248.284","0.000","65.68","-0.30","0.00","8.00","0.02","-","0.05","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","20:00-20:30","6214.985","0.000","65.68","-0.30","0.00","2.74","0.02","-","0.05","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","20:30-21:00","6177.710","0.000","62.45","-0.28","0.00","1.28","0.02","-","0.02","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","21:00-21:30","6126.022","0.000","61.80","-0.28","0.00","1.20","0.06","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","21:30-22:00","6029.107","0.000","60.55","-0.28","0.00","1.20","0.06","-","0.05","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","22:00-22:30","5917.282","0.000","62.49","-0.29","0.00","1.28","0.06","-","0.05","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","22:30-23:00","5818.876","0.000","60.83","-0.28","0.00","2.00","0.06","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","23:00-23:30","5716.494","0.000","60.52","-0.27","0.00","1.20","0.02","-","0.01","21 Aug 2020 9:31:30 AM"
"21 Aug 2020","23:30-00:00","5651.387","0.000","60.79","-0.26","0.00","1.00","0.01","-","0.01","21 Aug 2020 9:31:30 AM"

